%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	ethVlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPdssF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF
A	164	0x0400000000004000	1556336313.735649	1556336313.806344	0.070695	1	3	eth:ipv4:udp	44:07:0b:50:4d:df	22:ef:03:1a:97:b9	0x0800		192.168.10.222	07	"Private network"	37776	172.217.10.131	us	"Google LLC"	443	17	0x00	1	44:07:0b:50:4d:df_22:ef:03:1a:97:b9_5	GoogleInc,US_-	443	https	5	4	1804	1501	28	1350	360.8	405.8884	0	0.046544	0.014139	0.01634357	70.72636	25518.07	0.1111111	0.09167928	0x0001	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.005613	0.020975	0.01710075	0.005743919	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	10	1	6	10	1
B	164	0x0400000000004001	1556336313.756571	1556336313.765413	0.008842	1	3	eth:ipv4:udp	22:ef:03:1a:97:b9	44:07:0b:50:4d:df	0x0800		172.217.10.131	us	"Google LLC"	443	192.168.10.222	07	"Private network"	37776	17	0x00	1	22:ef:03:1a:97:b9_44:07:0b:50:4d:df_4	-_GoogleInc,US	443	https	4	5	1501	1804	20	1350	375.25	423.1183	0	0.008768	0.0022105	0.003278802	452.3864	169758	-0.1111111	-0.09167928	0x0001	0	0	56	56	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.002867	0.040931	0.009390601	0.01415041	0.02649135	0.01527176	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	10	5	9	9
A	165	0x0400000000004000	1556336315.214429	1556336315.214576	0.000147	1	3	eth:ipv4:udp	44:07:0b:50:4d:df	22:ef:03:1a:97:b9	0x0800		192.168.10.222	07	"Private network"	50233	8.8.8.8	us	"Google LLC"	53	17	0x00	1	44:07:0b:50:4d:df_22:ef:03:1a:97:b9_2	GoogleInc,US_-	53	domain	2	2	64	108	32	32	32	0	0	0.000147	7.35e-05	5.197235e-05	13605.44	435374.2	0	-0.255814	0x0001	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.020215	0.021621	0.020918	0.0004970958	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	10	1	16	14	1.4
B	165	0x0400000000004001	1556336315.234791	1556336315.236197	0.001406	1	3	eth:ipv4:udp	22:ef:03:1a:97:b9	44:07:0b:50:4d:df	0x0800		8.8.8.8	us	"Google LLC"	53	192.168.10.222	07	"Private network"	50233	17	0x00	1	22:ef:03:1a:97:b9_44:07:0b:50:4d:df_2	-_GoogleInc,US	53	domain	2	2	108	64	48	60	54	4.24264	0	0.001406	0.000703	0.0004970961	1422.475	76813.66	0	0.255814	0x0001	1	1	119	119	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.020918	0.0004970958	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	10	15	13	13
A	166	0x0400000000004000	1556336330.787544	1556336330.787544	0.000000	1	3	eth:ipv4:udp	44:07:0b:50:4d:df	22:ef:03:1a:97:b9	0x0800		192.168.10.222	07	"Private network"	39301	8.8.8.8	us	"Google LLC"	53	17	0x00	1	44:07:0b:50:4d:df_22:ef:03:1a:97:b9_1	GoogleInc,US_-	53	domain	1	1	37	77	37	37	37	0	0	0	0	0	0	0	0	-0.3508772	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0.020539	0.020539	0.020539	0.020539	0	0.020539	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	10	1	16	14	1.4
B	166	0x0400000000004001	1556336330.808083	1556336330.808083	0.000000	1	3	eth:ipv4:udp	22:ef:03:1a:97:b9	44:07:0b:50:4d:df	0x0800		8.8.8.8	us	"Google LLC"	53	192.168.10.222	07	"Private network"	39301	17	0x00	1	22:ef:03:1a:97:b9_44:07:0b:50:4d:df_1	-_GoogleInc,US	53	domain	1	1	77	37	77	77	77	0	0	0	0	0	0	0	0	0.3508772	0x0001	65535	0	119	119	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.020539	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	10	15	13	13
A	168	0x0000000000000004	1556336342.819332	1556336342.819332	0.000000	1	2	eth:eapol	44:07:0b:50:4d:df	02:d9:62:17:e1:f1	0x888e		-	-	"-"	0	-	-	"-"	0	0	0x00	1	44:07:0b:50:4d:df_02:d9:62:17:e1:f1_1	GoogleInc,US_-	0	unknown	1	0	99	0	99	99	99	0	0	0	0	0	0	0	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0
A	167	0x0400000000004000	1556336330.818143	1556336345.855362	15.037219	1	3	eth:ipv4:udp	44:07:0b:50:4d:df	22:ef:03:1a:97:b9	0x0800		192.168.10.222	07	"Private network"	53766	172.217.9.238	us	"Google LLC"	443	17	0x00	1	44:07:0b:50:4d:df_22:ef:03:1a:97:b9_9	GoogleInc,US_-	443	https	9	7	6209	1753	23	1350	689.8889	533.962	0	14.98709	1.670802	4.438769	0.5985149	412.9088	0.125	0.5596583	0x0001	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0.020092	0.006201	0.030758	0.01800614	0.00724052	0.020092	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	10	1	2	8	0.8
B	167	0x0400000000004001	1556336330.838222	1556336345.886120	15.047898	1	3	eth:ipv4:udp	22:ef:03:1a:97:b9	44:07:0b:50:4d:df	0x0800		172.217.9.238	us	"Google LLC"	443	192.168.10.222	07	"Private network"	53766	17	0x00	1	22:ef:03:1a:97:b9_44:07:0b:50:4d:df_7	-_GoogleInc,US	443	https	7	9	1753	6209	20	1350	250.4286	349.0925	0	15.01862	2.1497	4.863997	0.4651812	116.4947	-0.125	-0.5596583	0x0001	0	0	56	56	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.000774	14.98786	1.670544	4.439106	1.68855	4.439111	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	10	1	7	7
A	169	0x0400000000004000	1556336373.765461	1556336373.765461	0.000000	1	3	eth:ipv4:udp	44:07:0b:50:4d:df	22:ef:03:1a:97:b9	0x0800		192.168.10.222	07	"Private network"	58520	8.8.8.8	us	"Google LLC"	53	17	0x00	1	44:07:0b:50:4d:df_22:ef:03:1a:97:b9_1	GoogleInc,US_-	53	domain	1	1	47	63	47	47	47	0	0	0	0	0	0	0	0	-0.1454545	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0.021266	0.021266	0.021266	0.021266	0	0.021266	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	9	1	16	14	1.555556
B	169	0x0400000000004001	1556336373.786727	1556336373.786727	0.000000	1	3	eth:ipv4:udp	22:ef:03:1a:97:b9	44:07:0b:50:4d:df	0x0800		8.8.8.8	us	"Google LLC"	53	192.168.10.222	07	"Private network"	58520	17	0x00	1	22:ef:03:1a:97:b9_44:07:0b:50:4d:df_1	-_GoogleInc,US	53	domain	1	1	63	47	63	63	63	0	0	0	0	0	0	0	0	0.1454545	0x0001	65535	0	119	119	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.021266	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	9	15	13	13
A	170	0x0400000000004000	1556336373.799744	1556336373.864353	0.064609	1	3	eth:ipv4:udp	44:07:0b:50:4d:df	22:ef:03:1a:97:b9	0x0800		192.168.10.222	07	"Private network"	50431	172.217.10.131	us	"Google LLC"	443	17	0x00	1	44:07:0b:50:4d:df_22:ef:03:1a:97:b9_5	GoogleInc,US_-	443	https	5	4	1804	1501	28	1350	360.8	405.8884	0	0.038527	0.0129218	0.01413631	77.3886	27921.81	0.1111111	0.09167928	0x0001	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.005748	0.021144	0.0172815	0.005766762	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	9	1	4	8	0.8888889
B	170	0x0400000000004001	1556336373.820866	1556336373.831574	0.010708	1	3	eth:ipv4:udp	22:ef:03:1a:97:b9	44:07:0b:50:4d:df	0x0800		172.217.10.131	us	"Google LLC"	443	192.168.10.222	07	"Private network"	50431	17	0x00	1	22:ef:03:1a:97:b9_44:07:0b:50:4d:df_4	-_GoogleInc,US	443	https	4	5	1501	1804	20	1350	375.25	423.1183	0	0.010666	0.002677	0.003994507	373.5525	140175.6	-0.1111111	-0.09167928	0x0001	0	0	56	56	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.004901	0.032779	0.0085196	0.01100238	0.0258011	0.01242207	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	9	3	7	7
A	171	0x0400000000004000	1556336379.542149	1556336379.542275	0.000126	1	3	eth:ipv4:udp	44:07:0b:50:4d:df	22:ef:03:1a:97:b9	0x0800		192.168.10.222	07	"Private network"	34457	8.8.8.8	us	"Google LLC"	53	17	0x00	1	44:07:0b:50:4d:df_22:ef:03:1a:97:b9_2	GoogleInc,US_-	53	domain	2	2	64	108	32	32	32	0	0	0.000126	6.3e-05	4.454773e-05	15873.02	507936.5	0	-0.255814	0x0001	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.020907	0.02261	0.0217585	0.0006021007	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	9	1	14	12	1.333333
B	171	0x0400000000004001	1556336379.563182	1556336379.564885	0.001703	1	3	eth:ipv4:udp	22:ef:03:1a:97:b9	44:07:0b:50:4d:df	0x0800		8.8.8.8	us	"Google LLC"	53	192.168.10.222	07	"Private network"	34457	17	0x00	1	22:ef:03:1a:97:b9_44:07:0b:50:4d:df_2	-_GoogleInc,US	53	domain	2	2	108	64	48	60	54	4.24264	0	0.001703	0.0008515	0.0006021014	1174.398	63417.5	0	0.255814	0x0001	1	1	119	119	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.0217585	0.0006021007	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	9	13	11	11
A	173	0x0400000000004000	1556336433.843413	1556336433.843413	0.000000	1	3	eth:ipv4:udp	44:07:0b:50:4d:df	22:ef:03:1a:97:b9	0x0800		192.168.10.222	07	"Private network"	43815	8.8.8.8	us	"Google LLC"	53	17	0x00	1	44:07:0b:50:4d:df_22:ef:03:1a:97:b9_1	GoogleInc,US_-	53	domain	1	1	47	63	47	47	47	0	0	0	0	0	0	0	0	-0.1454545	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0.019471	0.019471	0.019471	0.019471	0	0.019471	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	10	1	16	14	1.4
B	173	0x0400000000004001	1556336433.862884	1556336433.862884	0.000000	1	3	eth:ipv4:udp	22:ef:03:1a:97:b9	44:07:0b:50:4d:df	0x0800		8.8.8.8	us	"Google LLC"	53	192.168.10.222	07	"Private network"	43815	17	0x00	1	22:ef:03:1a:97:b9_44:07:0b:50:4d:df_1	-_GoogleInc,US	53	domain	1	1	63	47	63	63	63	0	0	0	0	0	0	0	0	0.1454545	0x0001	65535	0	119	119	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.019471	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	10	15	13	13
A	174	0x0400000000004000	1556336433.887911	1556336433.952609	0.064698	1	3	eth:ipv4:udp	44:07:0b:50:4d:df	22:ef:03:1a:97:b9	0x0800		192.168.10.222	07	"Private network"	39526	172.217.10.131	us	"Google LLC"	443	17	0x00	1	44:07:0b:50:4d:df_22:ef:03:1a:97:b9_5	GoogleInc,US_-	443	https	5	4	1804	1501	28	1350	360.8	405.8884	0	0.040323	0.0129396	0.01410795	77.28214	27883.39	0.1111111	0.09167928	0x0001	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.00577	0.018839	0.015523	0.004876609	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	10	1	2	8	0.8
B	174	0x0400000000004001	1556336433.908479	1556336433.918056	0.009577	1	3	eth:ipv4:udp	22:ef:03:1a:97:b9	44:07:0b:50:4d:df	0x0800		172.217.10.131	us	"Google LLC"	443	192.168.10.222	07	"Private network"	39526	17	0x00	1	22:ef:03:1a:97:b9_44:07:0b:50:4d:df_4	-_GoogleInc,US	443	https	4	5	1501	1804	20	1350	375.25	423.1183	0	0.009473	0.00239425	0.003539489	417.6674	156729.7	-0.1111111	-0.09167928	0x0001	0	0	56	56	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.003687	0.034553	0.008388599	0.01178185	0.0239116	0.01275121	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	10	1	7	7
A	175	0x0400000000004000	1556336443.760012	1556336443.760127	0.000115	1	3	eth:ipv4:udp	44:07:0b:50:4d:df	22:ef:03:1a:97:b9	0x0800		192.168.10.222	07	"Private network"	45982	8.8.8.8	us	"Google LLC"	53	17	0x00	1	44:07:0b:50:4d:df_22:ef:03:1a:97:b9_2	GoogleInc,US_-	53	domain	2	2	64	108	32	32	32	0	0	0.000115	5.75e-05	4.065864e-05	17391.3	556521.8	0	-0.255814	0x0001	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.020959	0.022384	0.0216715	0.0005038129	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	9	1	14	12	1.333333
B	175	0x0400000000004001	1556336443.781086	1556336443.782511	0.001425	1	3	eth:ipv4:udp	22:ef:03:1a:97:b9	44:07:0b:50:4d:df	0x0800		8.8.8.8	us	"Google LLC"	53	192.168.10.222	07	"Private network"	45982	17	0x00	1	22:ef:03:1a:97:b9_44:07:0b:50:4d:df_2	-_GoogleInc,US	53	domain	2	2	108	64	48	60	54	4.24264	0	0.001425	0.0007125	0.0005038136	1403.509	75789.47	0	0.255814	0x0001	1	1	119	119	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.0216715	0.0005038129	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	9	13	11	11
A	176	0x0400000000004000	1556336493.942212	1556336493.942212	0.000000	1	3	eth:ipv4:udp	44:07:0b:50:4d:df	22:ef:03:1a:97:b9	0x0800		192.168.10.222	07	"Private network"	36329	8.8.8.8	us	"Google LLC"	53	17	0x00	1	44:07:0b:50:4d:df_22:ef:03:1a:97:b9_1	GoogleInc,US_-	53	domain	1	1	47	63	47	47	47	0	0	0	0	0	0	0	0	-0.1454545	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0.020362	0.020362	0.020362	0.020362	0	0.020362	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	10	1	18	16	1.6
B	176	0x0400000000004001	1556336493.962574	1556336493.962574	0.000000	1	3	eth:ipv4:udp	22:ef:03:1a:97:b9	44:07:0b:50:4d:df	0x0800		8.8.8.8	us	"Google LLC"	53	192.168.10.222	07	"Private network"	36329	17	0x00	1	22:ef:03:1a:97:b9_44:07:0b:50:4d:df_1	-_GoogleInc,US	53	domain	1	1	63	47	63	63	63	0	0	0	0	0	0	0	0	0.1454545	0x0001	65535	0	119	119	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.020362	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	10	17	15	15
A	177	0x0400000000004000	1556336493.973460	1556336494.040378	0.066918	1	3	eth:ipv4:udp	44:07:0b:50:4d:df	22:ef:03:1a:97:b9	0x0800		192.168.10.222	07	"Private network"	60783	172.217.12.131	us	"Google LLC"	443	17	0x00	1	44:07:0b:50:4d:df_22:ef:03:1a:97:b9_5	GoogleInc,US_-	443	https	5	4	1804	1501	28	1350	360.8	405.8884	0	0.042183	0.0133836	0.01458976	74.71832	26958.37	0.1111111	0.09167928	0x0001	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.005499	0.019504	0.0159805	0.005240773	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	10	1	4	10	1
B	177	0x0400000000004001	1556336493.995136	1556336494.003694	0.008558	1	3	eth:ipv4:udp	22:ef:03:1a:97:b9	44:07:0b:50:4d:df	0x0800		172.217.12.131	us	"Google LLC"	443	192.168.10.222	07	"Private network"	60783	17	0x00	1	22:ef:03:1a:97:b9_44:07:0b:50:4d:df_4	-_GoogleInc,US	443	https	4	5	1501	1804	20	1350	375.25	423.1183	0	0.008506	0.0021395	0.003183267	467.3989	175391.4	-0.1111111	-0.09167928	0x0001	0	0	56	56	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.002746	0.036684	0.0084874	0.01265591	0.0244679	0.0136981	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	10	3	9	9
A	178	0x0400000000004000	1556336508.069425	1556336508.069447	0.000022	1	3	eth:ipv4:udp	44:07:0b:50:4d:df	22:ef:03:1a:97:b9	0x0800		192.168.10.222	07	"Private network"	32914	8.8.8.8	us	"Google LLC"	53	17	0x00	1	44:07:0b:50:4d:df_22:ef:03:1a:97:b9_2	GoogleInc,US_-	53	domain	2	2	64	108	32	32	32	0	0	2.2e-05	1.1e-05	7.778174e-06	90909.09	2909091	0	-0.255814	0x0001	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.006458	0.021048	0.013753	0.005158344	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	10	1	16	14	1.4
B	178	0x0400000000004001	1556336508.075905	1556336508.090495	0.014590	1	3	eth:ipv4:udp	22:ef:03:1a:97:b9	44:07:0b:50:4d:df	0x0800		8.8.8.8	us	"Google LLC"	53	192.168.10.222	07	"Private network"	32914	17	0x00	1	22:ef:03:1a:97:b9_44:07:0b:50:4d:df_2	-_GoogleInc,US	53	domain	2	2	108	64	48	60	54	4.24264	0	0.01459	0.007295	0.005158344	137.0802	7402.331	0	0.255814	0x0001	13	13	119	119	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.013753	0.005158344	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	10	15	13	13
A	179	0x0400000000004000	1556336554.029451	1556336554.029451	0.000000	1	3	eth:ipv4:udp	44:07:0b:50:4d:df	22:ef:03:1a:97:b9	0x0800		192.168.10.222	07	"Private network"	52499	8.8.8.8	us	"Google LLC"	53	17	0x00	1	44:07:0b:50:4d:df_22:ef:03:1a:97:b9_1	GoogleInc,US_-	53	domain	1	1	47	63	47	47	47	0	0	0	0	0	0	0	0	-0.1454545	0x0001	65535	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0.020093	0.020093	0.020093	0.020093	0	0.020093	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	11	1	20	18	1.636364
B	179	0x0400000000004001	1556336554.049544	1556336554.049544	0.000000	1	3	eth:ipv4:udp	22:ef:03:1a:97:b9	44:07:0b:50:4d:df	0x0800		8.8.8.8	us	"Google LLC"	53	192.168.10.222	07	"Private network"	52499	17	0x00	1	22:ef:03:1a:97:b9_44:07:0b:50:4d:df_1	-_GoogleInc,US	53	domain	1	1	63	47	63	63	63	0	0	0	0	0	0	0	0	0.1454545	0x0001	65535	0	119	119	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.020093	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	11	19	17	17
